price,size,rooms,toilets,suites,parking_spots,elevator,furnished,swimming_pool,district,nearest_station_distance,distance_to_city_center
2330,59,3,2,1,1,0,0,0,Belém,574.4074263515294,4091.900611941873
4393,230,3,2,1,2,0,0,0,Belém,480.2398417464102,5941.405596838999
3157,113,3,2,1,2,1,0,0,Belém,612.5740296148484,5042.468899567523
2780,68,2,2,1,1,0,0,1,Belém,416.6960222201432,5322.522054159283
2145,65,2,2,1,1,0,0,1,Belém,1222.1112814035664,4351.767724891151
2016,55,2,2,1,1,1,0,1,Belém,876.7763020849875,4982.084750495789
2150,50,1,2,1,1,1,0,1,Belém,258.20721939471423,5394.4484888845
1900,48,2,2,1,1,1,0,0,Belém,604.7072740315408,4921.7858806166
950,36,1,2,1,1,0,0,0,Belém,601.2364746506628,3764.5189508451454
3811,107,3,3,1,2,1,0,1,Belém,647.1792657870548,4963.734405479721
6800,150,3,4,3,2,1,1,0,Belém,636.5669872472744,5327.732630512905
2510,60,3,2,1,1,0,0,0,Belém,343.78760993399027,5546.977545798989
3357,113,3,2,1,2,1,0,0,Belém,612.5740296148484,5042.468899567523
5250,155,3,4,3,3,1,1,0,Belém,462.96805126941086,5102.647496608521
1900,66,2,2,1,1,1,0,0,Belém,782.9854139177256,6225.259136254325
1682,57,2,2,1,1,0,0,0,Belém,1454.8467136009667,4503.812530181291
2350,57,2,2,1,2,0,0,1,Belém,343.26959456861175,5814.543531041024
2327,55,2,2,1,1,1,1,0,Belém,712.1577598611874,5133.820092534836
1499,85,2,2,1,1,0,0,0,Belém,521.124330394143,5283.410421371766
3207,114,4,3,2,2,0,0,1,Belém,303.7160561524914,5539.669296510019
1775,80,3,2,1,1,0,0,0,Belém,582.7410158073868,5159.520127300801
1589,44,2,2,1,1,1,0,0,Belém,1459.6196910776114,7093.3015714953035
2274,55,2,2,1,1,1,1,0,Belém,665.4814428279738,5079.660989974148
1850,51,2,2,1,1,1,0,0,Belém,763.3126570645619,4846.5832462227445
3357,115,3,2,1,2,1,0,1,Belém,527.5405917731224,5139.435914999056
3250,73,3,2,1,1,1,0,0,Belém,428.70709232426435,5613.8433515792
1200,48,2,2,1,1,0,0,0,Cangaíba,2190.190301973481,13333.065800717657
1450,65,2,2,1,1,1,0,0,Cangaíba,1878.9008386491337,13352.761532258828
1690,64,3,2,1,1,1,0,0,Cangaíba,1719.0833920259731,12399.235132655258
1430,58,2,2,1,1,0,0,1,Cangaíba,1721.8192678404205,11075.335893901653
1610,57,2,2,1,1,0,0,0,Cangaíba,2471.736197106517,14649.774869870591
1380,58,2,2,1,1,0,0,0,Cangaíba,1611.8142239838473,12496.067954361315
1646,96,3,2,1,1,0,0,0,Cangaíba,1798.5775044782665,12460.71846179812
1350,48,2,2,1,1,0,0,0,Cangaíba,2125.938681443681,13279.639161022336
800,40,1,2,1,1,0,0,0,Cangaíba,1888.7177767653786,11687.291804154807
1600,62,2,2,1,1,1,0,0,Cangaíba,1796.0236424906545,12403.114565408245
1150,53,2,2,1,1,0,0,0,Cangaíba,2097.929289428665,12865.406423903416
1150,52,2,2,1,1,0,0,0,Cangaíba,1926.5213285521347,14389.356182876172
1650,55,2,2,1,1,1,0,0,Cangaíba,1796.0236424906545,12403.114565408245
1680,60,2,2,1,1,1,0,1,Cangaíba,1288.7370247439642,12046.690024627951
1770,67,2,2,1,1,1,0,1,Cangaíba,1721.8192678404205,11075.335893901653
1200,50,2,2,1,1,0,0,0,Cangaíba,2097.929289428665,12865.406423903416
1600,55,2,2,1,1,0,0,0,Cangaíba,1719.0833920259731,12399.235132655258
1400,55,2,2,1,1,1,0,0,Cangaíba,2357.9829450882216,13435.618607685758
1350,52,3,2,1,1,0,0,0,Cangaíba,2097.929289428665,12865.406423903416
1787,70,3,2,1,1,0,0,0,Cangaíba,1798.5775044782665,12460.71846179812
1300,46,2,2,1,1,0,0,0,Cangaíba,2005.7718766881562,14626.915105742693
1380,48,2,2,1,1,1,0,0,Cangaíba,1671.053147966406,10501.997624737973
1600,48,2,2,1,1,0,0,0,Cangaíba,2125.938681443681,13279.639161022336
2000,52,2,2,1,1,1,0,1,Cangaíba,1552.7027235712658,11959.254198805953
1520,55,2,2,1,1,0,0,0,Cangaíba,1604.730682952063,12483.417842863484
1420,45,2,2,1,1,1,0,0,Cangaíba,1569.6156925871558,9797.597645215816
1910,56,3,2,1,1,0,0,0,Cangaíba,2189.5435324679393,14855.971438173723
1460,48,2,2,1,1,0,0,0,Cangaíba,2190.190301973481,13333.065800717657
1700,55,2,2,1,1,0,0,0,Cangaíba,1796.0236424906545,12403.114565408245
